Data,Label
কত রঙ্গ দেখালে মাসি,Metaphor
কত রবি জ্বলেরে কেবা আঁখি মেলেরে!,Metaphor
কত শত গেল রথি শেওড়াতলার চক্রবর্তী,Metaphor
কথং মারাত্মকে ত্বয়ি বিশ্বাসঃ,Metaphor
কথা কম কাজ বেশী,Metaphor
কথা কম বললে ক্ষতি কম হয়,Metaphor
কথা কয় না ঘাড় নাড়ে সেই বাঘ মানুষ মারে,Metaphor
কথা টলার চেয়ে পা টলা (আছাড় খাওয়া) ভালো১,Metaphor
কথা টলার চেয়ে পা টলা ভালো১,Metaphor
কথা দিয়ো ধীরে; কাজ করো তীরে (দ্রুত),Metaphor
কথা বললে বার্তার সৃষ্টি হয়,Metaphor
কথা বলা থেকে কথা শোনার দাম বেশী,Metaphor
কথা বলার আগে যথেষ্ঠ সময় নিতে হয় যাতে কথা ফলের মত পরিপক্ক (সার্থক) হয়,Metaphor
কথা বেচে খাওয়া১,Metaphor
কথা বেচে খাওয়া২,Metaphor
কথাবার্তায় ক্রোধের পরিমাণ খাবারের লবণের মত,Metaphor
কথা শুনে পেটের ভাত চাল হয়ে যায়,Metaphor
কথা শুনে হরিভক্তি উড়ে গেল,Metaphor
কথা শোন দ্রুত কথা বল ধীরে,Metaphor
কথায় কথা বাড়ে ভোজনে পেট বাড়ে,Metaphor
"কথায় কথা বাড়ে, ক্রোধে হয় ঝড়, কথা না বাড়িয়ে সখি যাও তবে ঘর",Metaphor
কথায় কথায় রাজা উজীর মারে,Metaphor
কথায় কলসী/পেট ভরে না১,Metaphor
কথায় কলসী/পেট ভরে না২,Metaphor
কথায় টলার চেয়ে পায়ে টলা ভালো,Metaphor
কথায় নয় কাজে পরিচয়,Metaphor
"কথায় বড় হতে হবে না, কাজে বড় হও",Metaphor
কথায় বলে কথায় থাকো,Metaphor
কথায় মন ভিজে চিঁড়ে ভেজে না,Metaphor
কথার কথা কাজের নহে,Metaphor
কথার কোন মাথা নেই ব্যাঙে খায় চিঁড়ে দই,Metaphor
কথার গুণে বার্তা নষ্ট১,Metaphor
কথার গুণে বার্তা নষ্ট২,Metaphor
কথার চেয়ে কাজের গলা বেশি দরাজ,Metaphor
কথার বেলায় ঢুসঢাস কাজের বেলায় হাওয়া,Metaphor
কদম গাছের কানাই,Metaphor
কন্‌ওয়া বৈল্‌ বয়ারে সন্কৈ,Metaphor
কনের ঘরের মাসি বরের ঘরের পিসি১,Metaphor
কনের ঘরের মাসি বরের ঘরের পিসি২,Metaphor
কনের বাপ বসে বসে চোখের জলে ভাসে বরের বাপ বসে আছে পাঁচশটাকার আশে,Metaphor
কনের মা কাঁদে আর টাকার পুটুলি বাঁধে,Metaphor
কন্যা বরয়তে রূপং মাতা বিত্তং পিতা শ্রুতম্। বান্ধবাঃ বরয়তে কুলমিচ্ছন্তি মিষ্টান্নমিতরে জনাঃ। (চাণক্য),Metaphor
কপটপ্রেমে লুকোচুরি মুখে মধু হৃদে ছুরি,Metaphor
কপট বন্ধুত্ব প্রকাশ্য শত্রুতা থেকে খারাপ,Metaphor
কপালগুণে গোপালঠাকুর,Metaphor
কপালছাড়া পথ নাই,Metaphor
কপাল ভাঙ্গলে জোড়া লাগে না,Metaphor
কপাল ভালো তো সব ভালো,Metaphor
কপালমূলং খলু সর্বদুঃখম,Metaphor
কপাল যখন বাঁকে বেনাবনে বাঘ ঝাঁকে,Metaphor
কপাল যখন মন্দ হয় বন্ধুলোকে মন্দ কয়,Metaphor
কপাল সঙ্গে সঙ্গে যায়,Metaphor
কপালে তোর নেইকো ঘি ঠকঠকালে হবে কি?,Metaphor
কপালের লিখন যায় না খণ্ডন,Metaphor
কফিনে শেষ পেরেক ঠোকা/মারা,Metaphor
"কবে রাম রাজা হবে, তবে সীতা উদ্ধার পাবে",Metaphor
কম জলের/পানির মাছ বেশি জলে/পানিতে উঠলে ও মাছে বেশি লাফালাফি করে,Metaphor
কম্বল ও কমণ্ডুল না নিলে সাধু হওয়া যায় না,Metaphor
কম্বল(ভল্লুক) আমি ছেড়ে দিয়েছি কম্বল আমায় ছাড়ে না,Metaphor
কম্বলের লোম বাছলে থাকে কি?,Metaphor
কয়লা খেয়েছো আঙরা হাগো,Metaphor
কয়লা ছাড়ে না ময়লা,Metaphor
কয়লা পুড়লে ময়লা যায়,Metaphor
"কর গোবিন্দ বাপের শ্রাদ্ধ, আরও বামুন আছে",Metaphor
কর যদি তাড়াতাড়ি ভুলের হবে বাড়াবাড়ি,Metaphor
"করছে কীসের জাঁক, ময়না টিয়ে উড়িয়ে দিয়ে খাঁচায় পোষে কাক",Metaphor
করা থেকে বলা সহজ,Metaphor
"করার আগে ভাবো, ভাবার আগে কোরো না",Metaphor
করুণার পাত্র হওয়া থেকে শত্রু হওয়া ভাল,Metaphor
কর্কশ কথা আগুনের জ্বালার চেয়েও ভয়ঙ্কর,Metaphor
কর্জ করে যেই কষ্ট পায়/ভোগে সেই,Metaphor
কর্তব্যো নাতি সঞ্চয়ঃ,Metaphor
"কর্তা মুগের ডাল খান না; কেন খান না; পান না, তাই খান না",Metaphor
"কর্তা যে ঘি খান না, তা এক আচঁড়েই মালুম",Metaphor
কর্তার ইচ্ছায় কর্ম উলুবনে কেত্তন,Metaphor
কর্মণা বাধ্যতে বুদ্ধিঃ ন বুদ্ধ্যা বাধ্যতে কর্ম,Metaphor
কর্মণ্যেবাধিকারস্তে মা ফলেষু কদাচন,Metaphor
কর্মদোষেণ দরিদ্রতা,Metaphor
কলঙ্ক গঙ্গাজলে ধুলেও যায় না,Metaphor
কলঙ্ক বিনা চাঁদ নাই,Metaphor
কলসির জল গড়তে গড়তেই শেষ,Metaphor
কলাপোড়া খাও,Metaphor
কলার ভেলায় সাগর পার১,Metaphor
কলার ভেলায় সাগর পার২,Metaphor
কলিতে সোনা পিতল হলো,Metaphor
কলির অবতার,Metaphor
কলির অর্জুন,Metaphor
কলির কেষ্ট১,Metaphor
কলির কেষ্ট২,Metaphor
কলির প্রহ্লাদ,Metaphor
কলির ভীম/ভীমসেন,Metaphor
কলির যুধিষ্ঠির,Metaphor
কলির লক্ষ্মী,Metaphor
কলির সন্ধ্যা,Metaphor
কলুর বলদ,Metaphor
কল্পনার ডানা পাখা মেলে,Metaphor
কল্পান্তস্থায়িনো গুণাঃ,Metaphor
কল্লার (দুষ্ট) ঘাড় বোল্লায় (বোলতা) ভাঙে,Metaphor
কল্লে যত্ন মেলে রত্ন,Metaphor
কষতে কষতে বাঁধন ছেঁড়ে,Metaphor
কষ্ট দিয়ে দান আর পিত্তি মেরে ভোজন,Metaphor
কষ্ট না করলে কেষ্ট মিলে না,Metaphor
"কষ্টবিনা মানুষ সম্পূর্ণ হয় না, ঘর্ষণবিনা রত্ন উজ্বল হয় হয় না- কনফুসিয়াস",Metaphor
কসুরও নাই কামাইও নাই,Metaphor
কস্য নাভ্যুদয়ে হেতুর্ভবেৎ সাধুসমাগমঃ,Metaphor
"কস্য মাতা, কস্য পিতা, কস্য ভ্রাতা সহোদরঃ কা কস্য পরিবেদনা",Metaphor
কহাঁ রাজা ভোজ ঔর কহাঁ গঙ্গু তেলী,Metaphor
কাঁচপোকায় আরশোলা খায়/ধরে,Metaphor
কাঁচা কাজ করা নেই,Metaphor
কাঁচা খাই ডাসা খাই আর খাই পাকা,Metaphor
কাঁচা গাঁথুনির দুনো খাটুনি,Metaphor
কাঁচা গুয়ে ঢিল মারা,Metaphor
কাঁচা বাঁশে ঘুণ ধরা১,Metaphor
কাঁচা বাঁশে ঘুণ ধরা২,Metaphor
কাঁচা বাঁশে ঘুণ ধরে না,Metaphor
কাঁচা মাটিতে পা দেওয়া১,Metaphor
কাঁচা মাটিতে পা দেওয়া২,Metaphor
কাঁচায় না নোয়ালে বাঁশ পাকলে করে ট্যাঁশট্যাঁশ,Metaphor
কাঁচে কাঞ্চনে সমান১,Metaphor
কাঁচে কাঞ্চনে সমান২,Metaphor
কাঁচের ঘরে বসে পরের জানালায় ঢিল ছোড়া,Metaphor
কাঁটাগাছের তলায় থাকা,Metaphor
কাঁটাচামচের আগে আঙ্গুলের জন্ম,Metaphor
কাঁটা দিয়ে কাঁটা তোলা১,Metaphor
কাঁটা দিয়ে কাঁটা তোলা১,Metaphor
কাঁটা বিনা কমল/গোলাপ নাই,Metaphor
কাঁঠালের আমসস্ত্ব,Metaphor
কাঁড়ানো চালে তিন ঘা পাড় (ঢেঁকির আঘাত),Metaphor
কাঁধে কুড়ুল রেখে বনময় খোঁজে,Metaphor
কাউকে বুকে করা কাউকে পিঠে করা,Metaphor
কাক কখনো রাজহাঁস হয় না,Metaphor
কাক কাঁকুড়ের জ্ঞান নেই,Metaphor
কাক-কোকিলে ভেদজ্ঞান নেই,Metaphor
কাক ও কোকিল একই বর্ণ কিন্তু স্বরে ভিন্ন ভিন্ন,Metaphor
কাক কোকিলের সমান দাম,Metaphor
কাক কাকের মাংস খায় না,Metaphor
কাক খায় কাঁঠাল বকের মুখে আঠা১,Metaphor
কাক খায় কাঁঠাল বকের মুখে আঠা২,Metaphor
কাক খেলো ধান ব্যাঙের পায়ে দড়ি১,Metaphor
কাক খেলো ধান ব্যাঙের পায়ে দড়ি২,Metaphor
কাক গু খেয়ে মুখ ধুলে গঙ্গা অপবিত্র হয় না,Metaphor
কাক চুরির দ্রব্য লুকিয়ে মনে করে কেউ সেটা দেখে নি,Metaphor
কাকতালীয়বৎ প্রাপ্তং দৃষ্টাপি নিধিমগ্রতঃ,Metaphor
কাক ধুলে বক হয় না,Metaphor
কাকপক্ষীও টের পাবে না,Metaphor
কাক ভেজে জলে ব্যাঙের লাগে সর্দি,Metaphor
কাক ভাবে আমি বড় সেয়ানা,Metaphor
"কাক মরল ঝড়ে, প্যাঁচা ভাবে আমার শাপ লাগল হাড়েহাড়ে",Metaphor
"কাক সকলের মাংস খায়, কাকের মাংস কেই খায় না",Metaphor
কা কস্য পরিবেদনা,Metaphor
কাকিলা বধু ছেলে ধরতে জানে না,Metaphor
"কাকে নিয়ে গেল কান, কাকের পিছনে ছোট",Metaphor
কাকের উপর কামান দাগা,Metaphor
কাকের ডানায় মুক্তা বসালেও কাক রাজহাঁস হয় না,Metaphor
"কাকের ডিম সাদা হয়, বিদ্বানের ছেলে গাধা হয়।",Metaphor
কাকের পিছনে ফিঙে লাগা,Metaphor
"কাকের বাসায় কোকিলের ছা, জাতস্বভাবে করে রা",Metaphor
কাকের মাংস কাকে খায় না,Metaphor
কাকের লুকানো (খাদ্য),Metaphor
কাকো ন চ রাজহংসঃ,Metaphor
কাঙলা আপনা সমালা,Metaphor
কাঙালকে শাকের ক্ষেত দেখাতে নেই,Metaphor
কাঙালী মেরে কাছারি গরম,Metaphor
কাঙালের অশ্রুতে যে রক্ত ঝরে ভগবান দেখেও কিন্তু দেখে না,Metaphor
কাঙালের কথা বাসি হলে খাটে/ফলে,Metaphor
কাঙালের কাছে মুড়কিই সন্দেশ,Metaphor
কাঙালের ক্ষিদে বেশি,Metaphor
কাঙালের/ কাঙালের পুতের ঘোড়ারোগ,Metaphor
কাঙালের ঠাকুরব্যাধি,Metaphor
কাঙালের মরণ বিটকেল,Metaphor
কাচঃ কাচঃ মণির্ম্মণি,Metaphor
কাচে কাঞ্চনে সমান১,Metaphor
কাচে কাঞ্চনে সমান২,Metaphor
কাছা খুলতে দেরী হয়১,Metaphor
কাছা খুলতে দেরী হয়২,Metaphor
"কাছা দিতে কোঁচা আঁটে না, কোঁচা দিতে কাছা আঁটে না১",Metaphor
"কাছা দিতে কোঁচা আঁটে না, কোঁচা দিতে কাছা আঁটে না১",Metaphor
কাছা দিতে/খুলতে দেরী হয়,Metaphor
কাছের লোক কাছের নয়,Metaphor
কাছের লোক গাড়ী ফসকায়,Metaphor
কাজ আটকালে বুদ্ধি যোগায়,Metaphor
কাজ নেই কাজ করে ধানে চালে এক করে,Metaphor
কাজও নেই কামাইও নেই,Metaphor
কাজ নেই তো ভাজো খই,Metaphor
কাজ বুঝে সাজ,Metaphor
কাজ শুরু হলেই অর্ধেক কাজ শেষ,Metaphor
কাজ সরিয়ে রাখলে কাজ বরবাদ,Metaphor
কাজীর কাছে হিঁদুর পরব,Metaphor
কাজীর গরু কেতাবে আছে গোয়ালে নেই,Metaphor
কাজীর বিচার১,Metaphor
কাজীর বিচার২,Metaphor
কাজে এড়া অকাজে দেড়া,Metaphor
কাজে এড়া আচারে দেড়া,Metaphor
কাজে এড়া ভোজনে দেড়া,Metaphor
কাজে কুঁড়ে ভোজনে দেড়ে বচনে মারে তেড়েফুঁড়ে,Metaphor
কাজে খল দুধে জল তার দুঃখ চিরকাল,Metaphor
কাজের কথা মনেই থাকুক মুখে প্রকাশ করো না,Metaphor
কাজের কাজি,Metaphor
"কাজের বেলায় পায় না খুঁজে, খাবার বেলা সবার আগে",Metaphor
কাজের বেলায় কাজি কাজ ফুরালে পাজি,Metaphor
কাজের বেলায় ভাগে খাবার বেলায় আগে,Metaphor
কাজের মধ্যে চাষ রোগের মধ্যে কাশ,Metaphor
কাজের মধ্যে দুই খাই আর শুই,Metaphor
কাজের হাত পা মাথা ও মুণ্ডু- কিছুই নেই,Metaphor
কাটতে কাটতে নির্মূল,Metaphor
কাটলে রক্ত নেই কুটলে মাংস নেই,Metaphor
কাটা কইয়ের/পাঁঠার মত ছটফট করা,Metaphor
কাটা কাটা কথা আগুনের জ্বালার চেয়েও জ্বালাময়,Metaphor
কাটা কান চুলদে ঢাকি,Metaphor
কাটা ঘায়ে নূনের ছিটে১,Metaphor
কাটা ঘায়ে নূনের ছিটে২,Metaphor
কাটো তো খুন নহীঁ,Metaphor
কাঠ খায় আঙরা হাগে১,Metaphor
কাঠ খায় আঙরা হাগে২,Metaphor
কাঠবিড়ালীর সাগর বাঁধা১,Metaphor
কাঠবিড়ালীর সাগর বাঁধা১,Metaphor
কাঠে কাঠে কাঠাকাঠি,Metaphor
কাঠের বিড়াল হোক না ইঁদুর ধরতে পারলেই হলো,Metaphor
কাঠের ভিতর পিঁপড়ে বলে চিনি ছাড়া খাবনি; চিন্তামণি চিন্তা করে যোগায় তারে অমনি,Metaphor
কাণ্ডজ্ঞানবিশিষ্ট লোক থেকে সতর্ক থেকো যদি সে ক্রুদ্ধ হয়,Metaphor
কা তব কান্তা কস্তে পুত্রঃ সংসারোহমতীব বিচিত্র,Metaphor
কাদায়/খানায়/গর্তে পড়লে হাতি চামচিকেতে মারে লাথি,Metaphor
কাদায় গুণ ফেলা,Metaphor
কান চায় সোনারে সোনা চায় কানেরে,Metaphor
কান টানলে মাথা আসে,Metaphor
কান নিয়ে গেল কাকে কাকের পিছনে পিছনে ছোটা,Metaphor
কানপুর হয়ে নাগপুর যাওয়া,Metaphor
কানমন্ত্রে মন নাশ,Metaphor
কানাইয়ের মা,Metaphor
কানাকড়ির মা-বাপ,Metaphor
"কানাকড়ির মুরোদ/মূল্য নাই, কিল মারার গোঁসাই১",Metaphor
"কানাকড়ির মুরোদ/মূল্য নাই, কিল মারার গোঁসাই২",Metaphor
কানা কয়বার নড়ি (লাঠি) হারায়,Metaphor
"কানা কাঁদেন সোনারে, সোনা কাঁদেন কানারে১",Metaphor
"কানা কাঁদেন সোনারে, সোনা কাঁদেন কানারে২",Metaphor
"কানা কুঁজো খোঁড়া, তিন অসতের গোড়া",Metaphor
কানাখোঁড়ার এক গুণ বাড়া১,Metaphor
কানাখোঁড়ার এক গুণ বাড়া২,Metaphor
কানাগরু বাতাস বইলেই ভয় পায়,Metaphor
কানাগরু বামুনকে দান,Metaphor
কানাগরুর ভিন্ন গোঠ/পথ/মাঠ,Metaphor
কানাগলিতে ঘুরে মরা,Metaphor
কানাঘোড়ার সিধা দৌড়,Metaphor
কানাচোখে দিয়ে কাজল আপনরূপে আপনি পাগল,Metaphor
কানাছেলের নানারোগ১,Metaphor
কানাছেলের নানারোগ২,Metaphor
কানাছেলের নাম পদ্মলোচন,Metaphor
কানামেঘের বৃষ্টি সর্বত্র নয় দৃষ্টি১,Metaphor
কানামেঘের বৃষ্টি সর্বত্র নয় দৃষ্টি২,Metaphor
কানায়ে ভাগনে/ভাগিনা,Metaphor
কানার মাঝে ঝাপসা ভালো,Metaphor
কানুছাড়া গীত নাই রাধাছাড়া প্রীত নাই১,Metaphor
কানুছাড়া গীত নাই রাধাছাড়া প্রীত নাই২,Metaphor
কানুছাড়া গীত নাই রাধাছাড়া প্রীত নাই৩,Metaphor
কানে কলম গুঁজে দুনিয়াভর খোঁজে,Metaphor
কানে কানে কথা থাকে না গোপনে,Metaphor
"কানে দিয়েছি তুলো, পিঠে বেঁধেছি কুলো",Metaphor
কানে হাত না দিয়েই বলে কান নিয়ে দেল চিলে,Metaphor
"কানের জল, জল দিলেই বেরোয়",Metaphor
কানের পিছনে উকুনের বাসা,Metaphor
কান্তা রূপবতী শত্রু,Metaphor
কাপ ও ঠোঁটের মধ্যে বিস্তর ফাঁক আছে১,Metaphor
কাপ ও ঠোঁটের মধ্যে বিস্তর ফাঁক আছে২,Metaphor
কাপড় বুঝে জামা কাটো,Metaphor
"কাপড় হলে পচা, আঙ্গুল হয় খোঁচা১",Metaphor
"কাপড় হলে পচা, আঙ্গুল হয় খোঁচা২",Metaphor
কাপড়ে আগুন ঢাকা যায় না১,Metaphor
কাপড়ে আগুন ঢাকা যায় না২,Metaphor
"কাপড়ের দাগ যায় ধুলে, মনের দাগ যায় মলে।",Metaphor
কাপুরুষ মৃত্যুর আগে বহুবার মরে- সেক্সপিয়ার,Metaphor
কাম নাই কুত্তার আইলে আইলে দৌড়,Metaphor
কামড়াতে না পারো তো দাঁত দেখিয়েও না,Metaphor
কামড়িয়ো না দাঁত দেখাও,Metaphor
কাম নাই কামাইও নাই,Metaphor
কাম নাই কুত্তার আইলে আইলে দৌড়,Metaphor
কামলা (ন্যাবা রোগী) আপনি সামলা,Metaphor
কামলা সব শ্যামলা দেখে,Metaphor
কামাতুরানাং ন ভয়ং ন লজ্জা,Metaphor
কামাতে না পারা নাপিতের ধামাভরা ক্ষুর,Metaphor
কামানো মাথায় ক্ষুর বোলায়,Metaphor
কামার বুড়ুলে লোহা শক্ত হয়,Metaphor
কামারের কাছে ছূঁচ বেচতে আসা,Metaphor
কামারের কাছে লোহা জব্দ,Metaphor
কামারের কাজ কুমোরের সাজে না,Metaphor
কামারের নেহাই হাতুড়িকে ভয় পায় না,Metaphor
কামালে কুমালে বর লেপুলি পুছুলি ঘর,Metaphor
কার কপালে/ভাগ্যে কেবা খায়,Metaphor
"কার শ্রাদ্ধ কে বা করে, খোলা কেটে বামুন মরে",Metaphor
"কার সাধ্য মারে তারে, খোদা হেসে রাখে যারে",Metaphor
কারণ বই কার্য নাই,Metaphor
কারে পড়ে আল্লার নাম,Metaphor
কারে পড়ে গঙ্গাস্নান,Metaphor
কারে ভজে কার দাস,Metaphor
কারো আগেও নয় কারো পাছেও নয়,Metaphor
কারো উপকার করলে কখনো বলো না কেউ উপকার করলে কখনো ভুলো না,Metaphor
কারো কড়ি/ধার ধারি না১,Metaphor
কারো কড়ি/ধার ধারি না২,Metaphor
কারো ঘর পোড়ে কেউ আগুন পোহায়,Metaphor
"কারো চাকর নই, কারো প্রভুও নই- এব্রাহাম লিঙ্কন",Metaphor
কারো দুধে চিনি কারো শাকে বালি,Metaphor
কারো পৌষমাস কারো সর্বনাশ,Metaphor
কারো প্রতি অটুট শ্রদ্ধা রাখার একমাত্র উপায় হল তার সাথে কখনো দেখা না করা,Metaphor
কারো সাথে ভাগাভাগি করলে সমস্যা অর্ধেক হয়ে যায়,Metaphor
কারোকে বুকে করা কারোকে পিঠে করা,Metaphor
"কার্তিকের জল উনো, ধান জন্মে দুনো- খনা",Metaphor
কার্যকালে সমুৎপন্নে ন সা বিদ্যা ন তদ্ধনম্,Metaphor
কার্য থাকলে কারণ আছে,Metaphor
কাল ছিলাম বসে স্বর্ণপিঁড়ে আজ বসেছি আস্তাকুঁড়ে,Metaphor
কালনেমির লঙ্কাভাগ,Metaphor
কাল যায় না জল যায়,Metaphor
কাল রাম রাজা হবে আজ তার বনবাস,Metaphor
কালস্য কুটিলা গতিঃ,Metaphor
কালা অক্ষর ভৈঁসা বরাবর,Metaphor
কালা জগতের আলা,Metaphor
"কালা কাজলের মাটি, তা'র লাগি ছ'মাস হাঁটি; সুন্দর ধুতুরার ফুল, তা'র নাই কড়ার মূল",Metaphor
কালা ধুলে ধলা হয় না,Metaphor
কালা (কানে খাটো) পুরুত তোতলা যজমান,Metaphor
"কালা বলে গায় ভালো, কানা বলে নাচে ভালো",Metaphor
কালা শোনে ঢাকের বাদ্যি কালা বলে আমার বিয়েরর বাদ্যি,Metaphor
"কালি কলম পাত, তবে লেখার হাত১",Metaphor
"কালি কলম পাত, তবে লেখার হাত২",Metaphor
"কালি কলম মন, লেখে তিন জন",Metaphor
"কালিদাস আর কি, যে ডালে বসে সেই ডাল কাটে",Metaphor
"কালির অক্ষর/আঁচর নাইকো পেটে, চণ্ডী পড়ে কালীঘাটে",Metaphor
কালীঘাটের লোকের কালীদর্শন হয় না,Metaphor
কালে কালে কতই হল পুলিচিঠের লেজ গজালো,Metaphor
কালে দত্তং বরং হ্যল্পমকালে বহুনাপি কিম্‌,Metaphor
কালেন ফলতে তীর্থং সদ্য বহুসাধুসমাগমঃ,Metaphor
কালের আবার কালাকাল,Metaphor
কালো আঙুর সাদা আঙুরের মত সমান মিষ্টি,Metaphor
কালো আর কালোয় মিলে ধলো হয় না১,Metaphor
কালো আর কালোয় মিলে ধলো হয় না২,Metaphor
"কালো আর ধলো বাইরে কেবল, ভিতরে সবাই সমান রাঙা",Metaphor
কালোকাপড় রুক্ মাথা লক্ষ্মী বলেন যাবো কোথা,Metaphor
কালোছেলের নাম গৌরাঙ্গসুন্দর,Metaphor
"কালোবামুন, কটাশুদ্র, বেঁটেমুসলমান, ঘরজামাই, পোষ্যপুত্র- পাঁচজনাই সমান",Metaphor
কালো মুরগী সাদা ডিম পাড়ে,Metaphor
কালো হাঁড়ি কেয়া পাত তবে দেখবি জগন্নাথ,Metaphor
কাশীধাম ঘুরে কাঞ্চীপুরপম/কামাখ্যা যাত্রা,Metaphor
কাশীধামে কাক মরেছে কালীঘাটে/কুমিল্লাতে হাহাকার,Metaphor
কাশীধামে ভূমিকম্প,Metaphor
কাশ্মীরজস্য কটুতাপি নিতান্তরম্যা,Metaphor
কাস্তে ভেঙে গড়ে করতাল,Metaphor
কি অপূর্ব সৃষ্টি মা তিতা ছা মিঠা,Metaphor
কি দিব কি দিব খোঁটা গয়ায় মরেছে বাপবেটা,Metaphor
কিং করিষ্যন্তি বক্তারঃ শ্রোতা যত্র ন বিদ্যতে,Metaphor
কিংকর্তব্যবিমূঢ়,Metaphor
কিং কুর্বন্তি গ্রহা সর্ব্বৈ যস্য কেন্দ্রী বৃহস্পতিঃ,Metaphor
কিং কুলেন বিশালেন গুণহীনস্তু যো নরঃ,Metaphor
কিং জীবিতেন পুরুষস্য নিরিক্ষরেণ,Metaphor
কিং দূরং ব্যবসায়িনাম্,Metaphor
কিংবা স্বয়ম্ভূ শিবশক্তিবিষ্ণুঃ কপালদুঃখং ন করোতি দূরম্,Metaphor
কিছু এসে যায় না কত আস্তে তুমি হাঁটছো যদি না তুমি থেমে যাও,Metaphor
কিছু করার আগে তিনবার ভাববে,Metaphor
কিছু করারক্ষেত্রে যারা আগে উপস্থিত হয় তাদের শাস্তি দাও এবং যারা পরে উপস্থিত হয় তাদের বাধা দাও,Metaphor
‘কিছু না’ করলে কিছু হয় না,Metaphor
‘কিছু না’ করা কুকাজ করার সামিল,Metaphor
কিছু না' থাকার চেয়ে কিছু থাকা ভাল,Metaphor
কিছু না' থাকার চেয়ে বাজে অজুহাত ভালো,Metaphor
কিছু না’ শিখলে অকাজ করা শেখা হয়।,Metaphor
কিছু পেতে গেলে কিছু দিতে হয়,Metaphor
‘কিছুই শিখি নি’ বলতে পারাটাই সব থেকে বড় শিক্ষা,Metaphor
"কিনতে ছাগল, বেচতে পাগল",Metaphor
"কিবা জ্যেষ্ঠ কি কনিষ্ঠ, যেই বুঝে সেই শ্রেষ্ঠ",Metaphor
"কি, বাজার যাচ্ছেন? না, বাজার যাচ্ছি; ও আমি ভাবলাম বাজার যাচ্ছেন",Metaphor
কি ভাবে কথা বলতে হয় না জানলে অন্তত কিভাবে চুপ থাকতে হয় তা শিখে নাও,Metaphor
কিমাশ্চর্য্যমতঃপরম্,Metaphor
কিমাদ্রবণিজো বহিত্রচিন্তয়া,Metaphor
"কি যাতনা বিষে বুঝিবে সে কিসে, কভু আশীবিষে (বিষধর সাপ) দংশেনি যারে- কৃষ্ণচন্দ্র মজুমদার",Metaphor
"‘কি হতে পারি’ কথা নয়, কথা হল ‘কি করতে পারি'",Metaphor
কিল খেয়ে কিল চুরি/হজম১,Metaphor
কিল খেয়ে কিল চুরি/হজম২,Metaphor
কিল মারার গোঁসাই,Metaphor
কিলিয়ে কাঁঠাল পাকানো,Metaphor
কিল্লা/কেল্লা ফতে,Metaphor
কিসে আর কিসে সোনা আর সীসে,Metaphor
কিসের মধ্যে কি পান্তা ভাতে ঘি,Metaphor
"কিসের মধ্যে কি, বেগুন পোড়ায় ঘি",Metaphor
"কিসের মাসী কিসের পিসী, কিসের বৃন্দাবন; মরাগাছে ফুল ফুটেছে মা বড় ধন",Metaphor
কীচকবধ,Metaphor
কীর্তির্যযস্য স জীবতি,Metaphor
কীর্তিমান জনকের পুত্র হওয়া বৃথা,Metaphor
কুঁজী না ও খুঁজি,Metaphor
কুঁজী না ঐ পুঁজি,Metaphor
কুঁজীর মন্ত্রণা,Metaphor
কুঁজোর ইচ্ছা চিৎ হয়ে শোয়,Metaphor
কুঁড়ে কৃষাণ অমাবস্যা খোঁজে- খনা,Metaphor
কুঁড়ে গরুর এঁটুলি সার১,Metaphor
কুঁড়ে গরুর এঁটুলি সার২,Metaphor
কুঁড়েঘরে বসে লাখটাকার স্বপ্ন দেখা,Metaphor
কুঁড়ের অন্ন জোটে না,Metaphor
কুঁড়ের বাক্যে পুড়ে মরি,Metaphor
কুঁড়ের বাথান বৈদ্যনাথ,Metaphor
কুঁড়ের মুখে আঁটুনি,Metaphor
"কুঁড়েরে কুঁড়ে কয়- আমি ঘুমাই, তুই দোর দে; কুঁড়েরে কুঁড়ে কয়- বাতাস বয়; দোরটা দিলে ভালো হয়",Metaphor
কুঁদের মুখে বাঁক থাকে না১,Metaphor
কুঁদের মুখে বাঁক থাকে না,Metaphor
কুকুর বিড়াল সম্পর্ক,Metaphor
কুকুর রাজা হলেও জুতা খায়,Metaphor
কুকুরকে লাই দিলে কাঁধে চড়ে,Metaphor
কুকুরের আড়াই পাক,Metaphor
"কুকুরের কাজ কুকুরে করেছে কামড় দিয়েছে পায়, তা বলে কি কুকুরের কামড় মানুষের শোভা পায়",Metaphor
কুকুরের কামড় হাঁটুর নীচে১,Metaphor
কুকুরের কামড় হাঁটুর নীচে২,Metaphor
কুকুরের দৌড় ছাড়া হাঁটা নেই,Metaphor
কুকুরের লেজ কাজে লাগে না,Metaphor
কুকুরের পেটে ঘি সয় হয় না১,Metaphor
কুকুরের পেটে ঘি সয় হয় না২,Metaphor
কুকুরের লেজে ঘি মাখলেও সোজা হয় না,Metaphor
কুকুরের স্থান পায়ের নীচে,Metaphor
"কুজন-পিরিত কাঁচ ভাঙিলে ফুরায়, সুজন-পিরিত সোনা ভেঙে গড়া যায়",Metaphor
"কুজনের নেই লাজ নেই অপমান, সুজনের এককথা মরণ সমান",Metaphor
"কুটুম্বের মধ্যে শালা, গয়নার মধ্যে বালা",Metaphor
কুঠে মুরগির ঠোঁটে বল,Metaphor
কুড়ি হলেই বুড়ি,Metaphor
কুৎসিত ছেলের নাম দিব্যসুন্দর,Metaphor
